Extracted Text,Response
"preventing from getting a job, bad relationship with bipolar mother, living with mother, stresses me out, locked myself in room, no friends, no family, no money for therapy, need therapy, secure a job",Overwhelming fear social anxiety and depression are especially painful because they make behaving constructively a challenge  But there are also lots of examples of folks who have successfully worked their way through this  So there is hope   In addition to the suggestion to visit your doctor who may prescribe a medication to help you relax there are many social service agencies who provide free counseling or take medicaid  A good CBT therapist will help you look at your thinking so that you may see how you are distorting your thoughts  Behavior is also important  Despite how you may feel it is helpful to go out to do things that relax you maybe a yoga class or a meditation class  Exercise Diet Eat well Think back on the things that you used to do that helped in the past and force yourself to do these things again  I know that this seems hard but it beats the alternative doesnt it  Of course I recommend you pick up a copy of my book Living Yes which will help you look at these and other ideas to help you out  I hope you get unstuck soon  Mark wwwMarkMorrisLCSWcom and wwwLivingYesorg
"feel like, time is going too fast",Thank you for reaching out That is a great question As an American I can truly say that I spend way too much time on the go It is a proven fact that Americans live in a fast paced environment compared to Europe I often ask myself what if I only had one day left on this Earth What would I do Well that is an easy question I would spend it with my family Easier said than done when we are living in a tomorrow kind of World right Its hard to focus on the now when we are so consumed in what tomorrow shall bringTime management is a very important factor when learning to live life to the fullest In fact this is a required course in undergraduate college now Everyone manages their time differently and it is up to you to decide how you would like to do this Personally for myself I like to keep a calendar with a todo list I always place my most important tasks at the top of the list That way if I do not get through the list I am not stressing over the little things When planning your day it is important you schedule work eat and play A much as it is hard not to work after getting off work it must be done There is discipline involved in this process If you have trouble with this then maybe seeking out some accountability such as including a coworker to make sure you do not bring work home once your shift is over or your spousepartner reminding you that this is a time for play and not workThese are just some ideas that I am throwing out there Again everyone has their own style on time management I hope this was helpful for you Please dont hesitate to reach out for anything further
"anxieties, shut down, pressured, unable to speak, body image issues, self-confidence issues, invalidated, paranoid, guilty, worthless",Im sorry to hear that you are unable to get through to your parents It sounds like you are experiencing a great deal of anxiety that needs to be addressed by a professional despite the fact that you are unable to at the moment I would recommend talking with another adult such as a school counselor that can offer you support in this area Perhaps they can work with you on your anxiety issues and schedule a meeting with your parents so that heshe may help mediate the conversation with themIf you are unable to reach out to a school counselor maybe you can try a member of the family such as an aunt or an uncle that feels comfortable addressing the issue with your parents Sometimes it helps hearing it from a third party before the situations is taken seriously enoughGood luck
"panic attacks, medications, control, anxious, moving in",Im sorry to hear that you are currently experiencing panic attacks I hope that the medication you have been prescribed has provided you with some relief Unfortunately I dont feel that moving in with your girlfriend would alleviate your anxiety Although you may feel very anxious about leaving her your body is reacting to this stressful event in your life in an unhealthy manner You may be able to render this particular situation but its likely that you may experience another panic attack when an additional stressful event arises Therefore it is essential that you address the reason for why you are experiencing panic attacks in the first place followed by practicing coping mechanisms in the case that one would arise in the futureTalk therapy has shown to be effective with those affected by anxiety along with breathing exercises and yoga A trained therapist will be able to assist you in finding the right stress reducing method so that you can reduce the chance of another attack occurringI wish you the best of luck It sounds like you are very happy in your relationship and I hope you are able to reduce your anxiety so that you are able to enjoy one another
"head injury, mind races, trouble sleeping, anxiety, medicine rejection, stomach sickness, mouth blisters, calm down, wreck",You didnt say what or how many medications youve tried Certain anxiety medications can make you feel nauseous but I havent heard of any that cause mouth blisters so there may be some other underlying medical issue there I would definitely talk to your primary care physician and whoever has prescribed the medication as well as a neurologist if youve suffered a severe head injury There are so many medications available for anxiety or insomnia or even depression that there may be others with lesser side effectsBut beyond that have you tried any other treatments such as deep breathing or meditation Meditation can be very effective but it takes practice and you dont have to sit crosslegged for hours chanting Ohm to meditate Its about focusing on your breath rather than all the thoughts that are racing through your head And when they do take your mind off your breath simply refocus and refocus and refocus Like I said it takes practice so dont give up You can find many sites offering different ways to meditate so look around and see what works best for you Like medication you just have to find the one that works best and that might take some experimentationI hope this helps and best of luck to you
"stressed, crying, freaking out, bright student, afraid, stressing too much, break her, not normal, doctor",Watching children go through challenges in their lives is difficult On a very basic level There exists a primal need to protect them from harm The hard part for parents is letting them feel those challenges and working through them as they get older At some point there is a moment that occurs when the role as a parent shifts Children no longer need the basics food shelter water safety as much as when they were toddlers but rather their needs shift to wanting more support encouragement advice and room to make mistakes This is where the ability to communicate with them letting them direct the sails to gather the wind needed to move is so important Keep the lines of communication open and be available to give feedback when they ask for it
"children, cannot afford, pay for, last year, two weeks, by herself",I imagine you are trying to figure out a way to be fair to your adult kids  The key word is adult  If your daughter can afford to join the family for a vacation thats great shes welcome to come  However as you pointed out she took a vacation by herself last year  she chose to put her resources time off work and money into doing that  Good for her  she did what she wanted  If she wants to budget time and money for a family vacation she willAs for feeling guilty let me echo the sentiments already offered  vacations are lovely but not a survival need  Your girl is in her 20s and its her turn to provide for herself  You did your parenting  now go enjoy your vacation with whoever can and wants to join you
"verbally abused, trapped, no escape, horrible things, emotionally drained, cope, deal with",All you can docontrol is work on yourself When you have enough sense of self you will know how to deal with your family Therapy is an investment in yourself which affects your family
"fussing, dodging being hit, sorry, no marks, paranoid, right to be",This sounds frightening and overwhelming and Im glad you are reaching out for help I cant say for sure your children are being abused but I can understand your  suspicion since there appears to be a change your childrens behavior I think it would be important for you to keep an eye on the situation Incase you notice any other changes If you become more concerned even  suspicions of child abuse are reportable to  Family protective services If they feel it is necessary they can do an  investigation You are doing the biggest thing for your children by being there for them and supporting them
"angry, afraid, okay, emotions, symptoms, situations",The short answer to your question is No its not okay for anyone to ever be doing this Theres a lot of unanswered questions and other factors going on here that need attention Nevertheless dont hesitate to seek out legal counsel andor call 911    Ideally your fiancé would be able to speak directly to her exhusband and set reasonable boundaries that honor whatever legal agreements are in force resultant from the divorce and custody agreements The fact that shes afraid to say anything to him about his inappropriate behavior and that she hasnt been able to give you any reason for her fear suggests possible factors of past abusive behaviors entitlement andor codependence   I hope things work out well for all and Im confident a skilled therapist could help all navigate how best to set boundaries and experience greater healing
"daughter in later elementary school, cant color in the lines, words jumble together, writes, big spaces, skips lines",Depending on your daughters age this could be a learning disability  I suggest contacting the school counselor and asking for an evaluation once she is evaluated and depending on the diagnosis she could be provided with treatment recommendations like occupational therapy reading glasses or assistance in class These and more accommodations are enforced under the 504 act Consider if the observations that you have done are affecting her performance in school only or also in other settings  Observe her behavior and or her emotions and see if they change as well  Discuss these with your daughters counselor as wellTiene mi hija un desorden mentalMi hija está en la escuela elemental  Ella no puede colorear dentro de la línea  Mezcla las palabras cuando escribe a menos que tenga grandes espacios o brinca las líneasDependiendo de la edad de tu hija esto puede ser un problema de aprendizaje  Te sugiero que contactes al consejero escolar y solicites una evaluación dependiendo de la diagnosis ellos pueden recomendar tratamientos como terapia ocupacional lentes para leer o asistencia en clase   Estos acomodos son provistos bajo la acta 504  Considera si las observaciones que has hecho afectan el desempeño de tu hija en la escuela o en otras áreas también observa su conducta y emociones y repórtaselo al consejero escolar
"normal rate, act younger, play with younger kids, doesnt act her age, happening, normal",This is certainly an important issue to look into It is always helpful to speak with the childs pediatrician since they are most familiar with the childs developmental history Also children tend to regress behaviorally when facing events and interactions they feel to have no control over this can be as simple as a loss of a pet a recent move death in the family  andor as serious as sexual abuse and other things If you have not spoken to the school that can be a good starting point
"exwife married, used me, have a child, uses that child as a pawn, misses me, move on, live in the past, see my child, as much as possible, very little, confusing for the child",You can move on and not live in the past in the context of your exrelationship but that does not mean moving on from your child Moving on then would involve accepting the end of the relationship and developing a civil relationship with your expartner as far as is possible for the sake of your childs developmentGenerally its good for a functional nonabusive parent to spend time with hisher child but only insofar as that doesnt cause your child unnecessary stress That requires the two adults to act like adults with each other for the sake of their childWhats confusing for children is seeing their parents act uncivilly or manipulatively Children also do well with routines so regular dependable visitation is preferable to random visitation or worse not following through on commitmentsBut if one person is exploiting their child to harm their expartner then visiting your child in that context may be stressful to himher depending on what you mean by using your child as a pawn When dealing with a hostile expartner your first challenge is to negotiate rules and boundaries with your expartner about appropriate behavior for the good of your child If you cannot come to an agreement a counselor can help mediate a conversation If thats not an option then it may be possible to turn to family court to stipulate visitation rules for which youd have to consult with an attorney
"severe autism, entertained, acting up, focus, calm voice, unfair",Behavioral interaction with someone who has severe autism requires highly specialized training both for any professional staff involved with the person and for the family membersIt is an unfair situation for both the person who has autism as well as the campers who do not to expect both sides to get along harmoniouslyIn order to achieve this the campers would need specialized training to know how to respond to distress in the camper who has autismThis would obviously stretch and burden the summer camp budget as well as provide an activity which usually isnt part of summer camp for childrenWhat you can do which may be productive in helping the camper who has autism is to point out the interaction difficulty to the summer administratorsUltimately it is their problem to only take campers who are able to reasonably adjust to socializing together and from what you write the administration has overreached whom they consider reasonable camper mates
"disrespectful attitude, issues, refuses help, living with grandparents, quit job, don't know what to do",Probably the best way to be supportive of your son is to tell him what bothers you about the way hes handling himselfIf youd like him to work with your suggestions then before you make critical comments be sure to validate his strong points and to recognize his natural talentsPeople are much more likely to take advice if the person feels the criticism is spoken by someone who respects them and isnt only critical of themOffer your availability to talk with him if you genuinely feel available to speak with him in a nonjudgmental way
"cried, lost trust, feel disgusting, heart stabbed",You felt bad when you lied so you told the truth  I imagine your mom was really shocked and upset  both of those things tell me you are a pretty honest person  Its possible that your mom had a big reaction simply because she has learned that her child from whom she always assumed honesty was capable of being dishonest  Thats not awesome but its not the end of the world  You made a mistake  youll make more of those in your life just try not to make the same ones over and over againIt sounds like you and your mom are close so I can see why it would feel so awful to have her distrust you  Since you are a fundamentally honest person the way back to being trusted is going to be simple but may take a little time  The recipe is easy  say what you are doinggoing to do do only that unless change is necessary in which case you inform others involved and repeat  And cut yourself some slack  Your mom will recover and so will you  Its an important and painful lesson about integrity but once learned it will serve you well
"communication, sleeps constantly, angry, unfocused, messy room, aches, fatigue, weight gain, hair loss, skin problems, not looking after health, not open to suggestions, how to communicate",That sounds awful and is clearly unsustainable  There are some great answers that give some guidance about what might be an underlying condition  If all physical and mental health issues are ruled out its time to take action  Get backup from friends or family members if you need to but let your daughter know you are giving her 30 days notice  She needs to find another place to live within that time  If she wants to stay with you be clear that first she has to go with a potential to return after she has been out for a good chunk of time  Once out she can prove to you and more importantly to herself that she is capable of maintaining her health and her environment  Remember you are going to rule out issues that would make it impossible for her to be successful if she is in good health her staying with you and living this way is actually harming her
"son stole debit card, lied, not first time, dont know what to do, punish, make him do something, tried talking, asking if anything was wrong, grounded him, nothing works, what should I do",A lot depends on the age of your child but given that it was a misused debit card I am going to guess hes a teen  Assuming that there are a couple of important things to keep in mind1  That he lied about the misuse indicates he knows he was in the wrong  Thats a dreadful feeling  getting caught out and an impulsive lie may have popped out of his mouth before he thought it through after all a debit spend is pretty easy to track  2 Once he lied he stuck with the lie    Somewhere along the line even though he knew that you knew he wasnt telling the truth he stuck with his story  And as you said its not the first time he lied  Now it looks like a habit has formedGoing forward when there is a dishonest act of any kind its essential that you set it up so your son can be truthful  Simply put do not ask questions  If you know for certain that he has for example misused your debit card say so  Asking did you invites him to get creative with denial asking why did you implies that with a good enough reason he might not be in hot water with you  Instead say what is  I see this charge on my debit card and realize you used it without my permission  You can only do this if you know for sure it was him but it sounds like you do  If he meets with denial stay calm restate that you are aware this happened  Then deliver consequences that match the transgression he has to return the item if its returnable or find a way to pay you back for the charge as well as any fees incurred in using it  Make it harder to find your card because he isnt that great at curbing the impulse to use it yetAnd most importantly once the consequence is delivered you have to let it go  Continuing to bring it up wont benefit him but it does have the potential to make him more sneaky  Every time he asks respectfully to use it whether you allow him to or not be sure to praise him for asking nicely  Catch him doing it right as often as possibleHang in there  this isnt super unusual behavior but it isnt acceptable so address it but dont let yourself get too wound up about it
"concerned, 12 year old daughter, walking on toes, coloring, writing messy, suddenly, never walked on tiptoes, colored neatly, advice",It is great that you are noticing these changes with your daughter I cant offer advice without knowing much more about your particular situation but some things to think aboutHas something else happen recently that has been stressful upsettingIs your daughter trying to communicate something to you and if so what might that beHave you discussed these recent changes with her Without being too serious or accusatoryThere is so much changing for her and you nowcommunication and connection are crucial I hope you both can talk to a supportive person about all these changes
"children, oldest, middle child, youngest, biological child, great relationship, attachment, rarely want her around, look forward, nap times, normal",This is your experience your feeling and you are wondering if it is normal which means is this common or the rule This question about how you feel about your third child leads me to believe you are dis turbed etymology agitated or stirred up  Feelings are messages from our soul or spirit that something is not right  So though  it might be normal common the rule  to look forward to a one year olds nap time when you have a three year old a nine year old the dis turbance or stirring up in you is important and requires your attention your listening if you will to your higher self
"guilt, trying to work three jobs, being gone a lot, successful, own business, nanny and cleaning help, great opportunity, spend time with kids",You seem to have been a very positive influence in your kids livesThey may have worked so hard because they understood how difficult and tiring your life was as a single momI feel you are seeing your kids lives through the measurement of how much toil was in your life as a single momIn other words what you see your kids overlooking or not appreciating may remind you of your wishes during the many years you raised your kidsIf it helps you and is possible then maybe you could spend more of your own time tougher with your grandkids  This may give some reward for the many years you spent working to support your kids and had no choice in the amount of time you had with your kidsAs far as your kids relationship to their kids it is now their turn to raise them as they wish within ethical boundaries of courseDepending on the topics you and your kids talk about consider to bring up your concern as to whether they feel their kids your grandkids are missing anything due to the limited time they have with the parents
"early 20s, toddler",Well first lets identify what factors are involved in the situation about which you wroteAre you the only decision maker regarding your stepdaughter living with youIs her dad and your partner living under the same roofWould you feel any obligation to consult with your husband about his opinion and his way of handling the situationHave you talked with your stepdaughter about your observation and your reaction to the fact of her not honoring your boundariesConsider too that there will be an effect on the toddler your grandchild if you kick out your daughterIs your daughter financially ready to live on her own and support herself and her childYou certainly have the right to define the terms of what goes on under your roofIt is only fair to everyone that as many variables as possible be consideredThe conclusion may be that it is in everyones best interest for your stepdaughter to move outIf everyone feels respected and a well thought out plan is developed then the least amount of hurt and stress and the most amount of happiness will be possible from this change
"cussing, screaming, feel stupid, compares, negative way, demeans, abuse",Oh my goodness my heart goes out to you  I pray you have other strong and supportive loved ones or friends surrounding you If you are in school please consider speaking with a counselor on site who can help give you some good coping mechanisms as well as other resourcesI believe most therapists would agree that this type of behavior is indicative of emotional AND verbal abuse And quite often the two overlap because someone who is being yelled at and demeaned is also frequently having hisher emotions preyed upon as well Healthy Place offers us some great examples of emotional abuse which certainly fit the criteria of what you describeYelling or swearing Name calling or insults mockingThreats and intimidationIgnoring or excludingIsolatingHumiliatingDenial of the abuse and blaming of the victimAnd abuse survivor and author Kellie Jo Holly offers some other great examples of verbal abuseEmotionally Abusive StatementsYoure so cute when you try to concentrate Look at you trying to thinkI cant believe I love a stupid jerkAw come on cant you take a jokeSexually Abusive StatementsYou should know how to please me by nowI hoped you were less experiencedStop acting like a whoreFinancially Abusive StatementsYou are going to nickel and dime me to deathIn what world does buying that make senseFine You handle your finances Let me know when things go to hellSocietally Abusive StatementsHow dare you spread around our private businessLet me do the talking people listen to menYou took a vow in front of God and everybody and I expect you to honor itThreatening and Intimidating StatementsIf you dont train that dog Im going to rub your nose in its messI will take our kids if you leave meYoure scared This isnt angry You will KNOW when Im ANGRYSpiritually Abusive StatementKeep your stupid beliefs to yourselfGod will find a way to get you back and it aint gonna be prettyI can feel myself being pulled into hell just listening to your nonsenseIts been my personal clinical experience that children who are experiencing the types of things you describe often say they feel misunderstood lonely or scared and dont want to make things worse by standing up for themselves Even if you feel you cant defend yourself outwardly that doesnt mean your fathers awful and toxic behavior is something you should ever internalize ie believe to be true which is why I hope you are surrounding yourself with people who will speak life and positivity back over you  We are ALL worthy of respect love and kindness Dont ever forget thatMy love and light to you honTamara Powell LMHC
"masturbating, caught looking up porn, worried",Your nephews behavior sounds normal and developmentally appropriate  Masturbation is a healthy expression of sexuality  Most families to create some rules about where its ok to masturbate for example stating that it should be done in the privacy of the childs own room  Im wondering if you or another adult in his life have talked to him about his developing sexuality  It seems like that would help him and you handle his increasing maturity
"gentle talking, counting, calm, talking, sending to room, calmer, calisthenics, not working",Theres two things this post relays  one which Im sure youve already looked into  is working with the school to address this problem Sure sometimes kids dont get along but most schools look at bullying seriously and this sounds serious The other though is additional tools to consider to help your daughter If you havent already read Greenes Explosive Child you might give it a shot While its a little preachy many of the tools are wonderful and can help parents navigate tantrums httpswwwamazoncomExplosiveChildUnderstandingFrustratedChronicallydp0062270451 Another tool that can redirect a child thats losing it is a task If her tantrums say involve throwing things maybe shes in charge of throwing all the sticks and acorns off the driveway into the garbage bin Ie Hey Jenny you seem really angry right now lets use all that energy and get some work done Go with her throw with her even  if possible  making a game out of getting the acorns into the bin from a distance I wish you all the best
"emotions, symptoms, no job, behind on bills, trying everything, no results, feeling neglected, giving until it hurts, afraid of failure, struggling in relationship, no communication, no alone time, need support",Financial stability is probably a good place to start your new life projectIf your partner doesnt work or doesnt contribute his money to the household bills then maybe you are eligible  for some type of stipend from the governmentEspecially since you have kids the child welfare service may intervene to help you  Sometimes too a partner who is unwilling to pay for their kids wellbeing may be pressured by child welfare to make regular contributions to you and your kidsIm glad you are thinking of your needs and those of your kids  This is the philosophy which will show you what road to follow so all three of you are in a secure financial place
"overly tired, throwing a fit, wanted to come home, cried, screamed, said she hated her grandma, wanted to kill herself, new baby, contribute to this, approach",You wrote a very full family context w many directions to examineDo you know or can you find out what the grandma and your daughter were doing in the evening of the screaming episodeIs it possible the grandma abuses your daughter or tells her scary stories watches scary movies  These are only suggestions of some problem between grandma and your daughterAlso ask your daughter directly why she wants to kill herself and what killing herself means   Seven year olds dont have a concept of death being a forever condition  Seven year olds dont have a sense of future meaning besides likingdisliking them   Maybe the new baby is a factor  Do you feel this is a factor   Trust your intuition to tell you if your daughter is resentful of your new babyEven if she is I doubt a seven year old has the capacity to connect current unhappiness with the intention of a future action including suicide
"suicide attempts, pregnant, terminally ill, adopted, died, abusive, foster care, long term effects, childhood history",The true answer is no one can really say with certaintyThe variables are the way this child absorbs and adjusts to these significant changes in their life  All anyone can do is guess at this point and theres no good reason to guessThe only general certainty is that the adult whom this child becomes will have had a profound encounter with the biggest types of human losses a child can go throughSome people become great teachers therapists and philosophers who have this background  Some give up on life and hide away from othersThe best anyone could do who knows this child is to offer love bc this is the greatest guarantee to show there are good people on this earth
"punishment, grandsons, stepmother, school, pink Barbie backpack",Parents are to teach discipline to children not punishment   Punishment is another word for wanting to cause hurt  There is a different in discipline and punishment  Punishment could have long term affects on a childs self image and growth  It can lead to others issues such as bullying from peers as well  Whatever your grandson has done there is a much better way of getting him to understand that his actions are not acceptable  Punishment is not one them  Encourage the stepmother to build a positive relationship with him this way he will learn to respect and trust her  His actions would improve  She may need to attend a parenting class for blended families
"emotions, symptoms, situations, control, live with parents, afford, follow rules, trying to control, early 20s, mother, roof, life",Hi   Im sorry you are having such a tough time with this situation  I have worked with a number of young adults in their 20s who have had to move back home after college  or even stay at home through the college years  Bottom line is that either way  it is so difficult when you are trying to discover who you are and what you want your life to be  to have to live at home   I have even heard much older adults clients  say that when they visit their childhood home  they suddenly feel like a kid again   The old dynamics between adults and their parents and siblings can pop right up as if they have gone back in time and are no longer adults I would suggest that you approach your mom and say something like I am hoping we can talk about the best way for us to manage me living here  I really appreciate that you are giving me a place to live until I get on my feet  and I want to be respectful of you and our home  at the same time  though I feel like its important for me to have more independence than when I was younger because I am growing up and trying to learn more about myself and become more autonomous Can we talk about what might be fair rules that we can  both live with  If she is receptive  maybe you can each write a separate list of what you think would be fair and reasonable and then compare lists and try to make compromises and come up with a list of guidleines that feel fair to you both    If this is too hard to do alone  perhaps you and your mom can meet with a therapist a few times who can help you to come  up with some kind of compromise contract   This is not an easy situation  but if you can approach your mom in a calm and mature way and suggest a planned structured discussion that doesnt take place in the heat of the moment  your mom may be impressed by your maturity and even more receptive to working out some rules that you can both live withGood luck Elissa Gross
"feel like shit, worthless, depressed, lose it",If youre actually able to afford to move out and support your own life then this is a reasonable choiceIf youre not in such a position and must continue for a while to live w your dad then emotionally protect yourself from himDoing so is much more difficult than maybe it soundsDo you have privacy in your house and can you spend more time in a selfcreated safe space than around your dadAlso limit the amount of dialogue you have with him so you dont offer him a chance to feel invited to criticize youAre there other people who live in the household w you and dadIf yes then are they similarly called names or are you singled out by him What do the other family members do when they hear your dad calling you namesIs it possible the other family members dont realize how hurt and upset you are by your dads behaviorIf yes then make a project for yourself to tell the other family members that you suffer from your dads name callingIt is possible the other family members will step in and tell your dad to stopNot necessarily that he will stop  Knowing the others support you emotionally and find you credible is helpful on its own
"anger, feeling responsible, fear, making wrong decisions, wanting to live with mom",Yes from what you wrote your dad doesnt accept responsibility for the way he feels and blames you for his feelingsIm glad you recognize hes handling himself less as a grown person and more like a young childI also understand your hurt and frustration that your father handles himself in a way which shows for now that he is unwilling to respect your wishesYour decision is not surprising since most people wouldnt want to live with a parent who shows little interest to respect their kids decisionsIn terms of how to tell him your choice do this in simple and most basic information terms   Ive decided for now to live w momI suggest to not offer reasons to him bc he doesnt seem interested in hearing them   Giving him reasons would likely trigger him to rebut themIf he asks questions answer them as simply as possibleIf and when you feel he is more willing to understand and know you then youd feel more free to have genuine dialogue with himRight now he doesnt seem very ready to handle this
"overdosed, blames, scared, drug addictions, stroke, depend on",Blaming others is one of our greatest coping mechanisms  It is not just for addiction and often we blame the ones closest to us  You can not stop them from blaming you you can stop yourself for taking on the burden  We are all in charge of the choices we make  No one makes us do something other than our self  We choose how we internalize and react to situations  I would find a good therapist who understands family dynamics and addiction to help you cope with your current environment and help you move forward
"refuses to talk, remembering things from the past, blames me, hates me, should just let, live with her dad, fix things, see her every other weekend",Sorry to hear about your high degree of stressHow old is your daughterWho abused yours daughterThe answers make a difference to your decisionObviously if the father was the abuser then unless your ex demonstrates to you and you believe he will not abuse her your daughter should stay with youIf someone other than the father was the abuser and the father has a good relationship with your daughter then it is possible that the time away from your household will give each of you time away from arguing with one anotherWhat does your daughter tell you she wantsHer wishes must be considered tooRelationships can be fixed   Sometimes being apart helps this process because the two people each have time to reflect more deeply on what they value about the other
"anger, frustration, living situation, disrespectful, sexual curiosity",Youre her mom and she needs you  I would suggest focusing on connection  Since you are not currently living together one way to do this would be to plan a date in which she gets to decide what you do together  Give her time to think about what she wants to do  As long as the activity is safe and affordable try to do it even if its not your thing  While you are with her turn off the phone and give her your undivided attention  The goal would be just for you to enjoy each other and connect
"crying, daddy dies, never see him again, make her daddy die",Children often have a difficult time expressing emotions accurately It is also very likely that your daughter does not understand  the permanence of death Having said that she is using some very specific ideas here and I would recommend contacting a local mental health professional with some experience working with childrenI would also wonder where she is getting this idea Sometimes children hear things on TV or from an adult and we are not even aware of how much they are rememberingIt may be helpful to teach her things that she can do when she is angry like say that she is mad because she cannot have the toy that she is asking forIm curious as to how long it is that she stays mad like this and whether she talks to her dad after she is no longer angry Does she say the same sorts of things about youIt may also be helpful for you to work with a mental health professional possibly the same one who is working with your daughter so that you can have some support with this as well
"emotions, symptoms, situations, addicted to child pornography, felony charges, pandering, minors, teenagers, issues, pornography addiction, strain, therapist, repented, kept information, minimized, constant, living with, should be told",If the daughters are old  mature enough to understand substance abuse  They should be told for their own empowerment KNOWLEDGE is their power of safety and protection
"adolescent, overweight, disrespectful, doesn't listen, problem, dealing with, emotions, symptoms, situations",I would be curious about there potentially being some emotional or physical trauma in your daughters history that she is struggling with Physical trauma is usually easier to identify but emotional trauma can be feeling a lack of emotional connection in her important relationships having experienced bullying or some other emotional injury The fact that there are some defiance symptoms going on suggests that she might be in need of a safe place to process what shes going through and the potential issue with control or meeting emotional needs with food is also concerning I would recommend looking for a therapistcounselor who works with childrenadolescents in the area of addressing trauma for an assessment They may be able to ask the right questions to see whether trauma is truly the issue
"emotions, symptoms, situations, counselor, take sides, parent, order, child, tell, every detail, happened, visitation, build a case, child custody","I see a few issues hereFirst the age of the child is important  If the child is considered an
adult by state law with regard to counseling states differ on this
 the range is typically between age 13 and age 18 no one is allowed to
be in the session without the childs consentSecond ethical and legal standards generally require that a
counselor be in the role of a therapist or in the role of an evaluator but
not both  This means that a counselor
should not generally provide both counseling and offer an opinion regarding who should
have custody of a childThird knowing the details of any parenting plan or
separation agreement is important 
Generally either parent can consent to counseling for a minor child and
can be present during the childs sessions 
If a court order parenting plan or separation agreement specifies that
one of the parents has sole decision making authority then only that parent can
consent to counseling for the minor child and only that parent can be present during the childs
sessionsIn a situation like this I would strongly recommend seeking
out legal advice specific to your state law"
"adolescent, peed his pant, wrapped up in a video game, taken away games, punishment, pees his pants",Sounds as though your son is pissed off about somethingPunishment will most likely result in more of the same not less of the peeing you would like to stop from happeningLaziness is more of a social judgement than it is a characteristic of its own meritIs this your description of your son or his description of himselfFirst step always before addressing any of the family dynamics emotions and psychology of the people involved is a medical rule out as to why your son pees at times he plays video gamesIf he has medical clearance that there is no physiological  problem then talk with your son on his opinions as to why he pees if he is aware of the urge to pee and ignores it or that his attention gets so absorbed he doesnt notice the urge to peeSee what modifications you can create by cooperating with your sonMaybe it is as simple as each two hours he sets a timer and when it goes off he takes a bathroom break
"worried, should be worried, do something, something about it",It can be tricky to figure out if a child is truly satisfied with his lack of friendships Parents can usually tell when their child is happy But kids who are unhappy may be masking disappointment perhaps acting out their feelings in an aggressive manner Others may internalize symptoms appearing sad or withdrawn A parent may learn a great deal by asking the teachers questions such as whether the child works with others on group projects or if he eats lunch alone A parent can also talk with the recess supervisor about what happens on the playground and whether your child stays on the sidelines of play unsure of how to join the group Therespectfully is a difference between kids who are shy but happy and kids who feel isolated because they do not know how to make friends Itis not necessarily that there is something wrong with that child but they will in fact need help and suggestions for breaking into a peer group Ask a child if there is someone he would like to have over to play If a mom or dad can make the play dates happen or if they hit on an activity the child truly enjoys the young person may begin to forge friendships on their own I encourage wellmeaning parents to choose words carefully Use phrases like Hey I noticed something or Let me help you be successful By showing respect parents should feel more comfortable nudging their children beyond their comfort zoneWhen to seek professional help When does isolation raise a red flag for longterm issues True personality disorders are not typically diagnosed until adulthood Still professional counseling should be considered if the antisocial behavior is causing the child significant distress perhaps keeping him from functioning in everyday activities Also parents should pay attention to how the childs social behavior changes over time such as social anxiety The vast majority of children who define quality time as time alone are perfectly happy healthy and normal If the child is able to nurture at least one friendship exhibiting what experts call social reciprocity then parents can relax and can cherish that child who enjoys the pleasure of his or her own company
"get along, belittling, scolds, all out war, don't support, never loved, horrible names, pushes buttons, call names",As frustrating and probably hurtful as your daughters comments sound theres also a message in them about how she genuinely feelsTo some degree your daughter and you may both feel similarly misunderstood by the otherDeveloping ways of listening and talking to one another to better understand how you each feel would probably help a lotOne major point to be aware is that the motherdaughter relationship dynamic because it is strong may slow the new dynamic of relating as two adultsWatch for your own tendency to expect your daughter to consider you as a parenting authority instead of considering her as a grown personThe same is true of your daughter  She may need to remind herself to talk to you as the adult she isHer needs from you are real they just need to be spoken to you in an adult way
